subj,MW1_sham_B0,MW1_real_B0,MW1_sham_B1,MW1_real_B1,MW1_sham_B2,MW1_real_B2,MW1_sham_B3,MW1_real_B3,MW2_sham_B0,MW2_real_B0,MW2_sham_B1,MW2_real_B1,MW2_sham_B2,MW2_real_B2,MW2_sham_B3,MW2_real_B3,MW3_sham_B0,MW3_real_B0,MW3_sham_B1,MW3_real_B1,MW3_sham_B2,MW3_real_B2,MW3_sham_B3,MW3_real_B3,AE_sham_B0,AE_real_B0,AE_sham_B1,AE_real_B1,AE_sham_B2,AE_real_B2,AE_sham_B3,AE_real_B3,BV_sham_B0,BV_real_B0,BV_sham_B1,BV_real_B1,BV_sham_B2,BV_real_B2,BV_sham_B3,BV_real_B3
PFC001,2,1.4545454545454546,1.9090909090909092,1.4545454545454546,2.090909090909091,1.8181818181818181,2,2.8181818181818183,1.6363636363636365,1.4545454545454546,1.5454545454545454,1.4545454545454546,2.090909090909091,1.8181818181818181,2.272727272727273,1.8181818181818181,1.8181818181818181,1.2727272727272727,2.272727272727273,1.4545454545454546,1.6363636363636365,1.8181818181818181,2.090909090909091,2.090909090909091,0.5099406708078088,0.9251569310926313,0.37620125662655635,0.38001983242933673,0.5633326707266566,0.4659566600575505,0.7767198311526633,0.6340829993416082,-0.4854789030390371,-0.4455495860276869,-0.6660786613712989,-0.6086296978686894,-0.6030506046627622,-0.6360954690366211,-0.2833686005463053,-0.5021819879392253
PFC002,3.5454545454545454,2.727272727272727,2.6363636363636362,2.909090909090909,2.909090909090909,3.1818181818181817,3.090909090909091,2.8181818181818183,2.727272727272727,2.6363636363636362,2.4545454545454546,2.3636363636363638,2,2.5454545454545454,1.7272727272727273,2.272727272727273,3.6363636363636362,3.090909090909091,3.272727272727273,3.272727272727273,3.090909090909091,3.3636363636363638,3.1818181818181817,3.3636363636363638,-0.32433497864875677,-0.08267521708345454,-0.19661195063574927,-0.5523304232956858,-0.37226746331445976,-0.2766705522590709,0.2925878203326548,-0.7021586586171377,0.6290567032083516,0.7457347467680289,0.22276301628696996,0.039752994684407385,0.051489538203784956,-0.06988260965572057,-0.23854791997886238,0.05692750775266353
PFC003,2,1.2727272727272727,1.9090909090909092,1.5454545454545454,2.272727272727273,1.6363636363636365,2.3636363636363638,1.9090909090909092,1.3636363636363635,1.1818181818181819,1.8181818181818181,1.1818181818181819,2.090909090909091,1.2727272727272727,1.6363636363636365,1.6363636363636365,2.1818181818181817,1.5454545454545454,2.5454545454545454,1.5454545454545454,2.8181818181818183,2.1818181818181817,2.3636363636363638,2.4545454545454546,1.2978316873919993,0.923714755212576,0.8759646869651136,0.8415795554372855,0.7243050514818034,1.021654577226736,0.9713643627938661,0.8729304542717843,-0.7361601081310157,-0.6400513691659339,-0.717372353132358,-0.36697187919680124,-0.28293703589024954,-0.21956033990771973,-0.183804796993708,-0.1672748704365437
PFC004,1.9090909090909092,2.4545454545454546,2.727272727272727,2.6363636363636362,2.909090909090909,3,2.909090909090909,2.8181818181818183,3.090909090909091,1.2727272727272727,1.7272727272727273,1.0909090909090908,1.2727272727272727,1.0909090909090908,1,1,2.1818181818181817,3.1818181818181817,3.5454545454545454,3.1818181818181817,3.090909090909091,3.6363636363636362,3.3636363636363638,3.4545454545454546,0.35688455853582907,0.3744333774206121,0.024776655417468423,0.28284775870971735,0.19730422889853666,0.26955926602275565,0.3877057025592872,0.054429618642225355,0.23281565250984437,-0.3921193194490424,-0.06071590785000054,-0.3667864627377485,-0.3182955022799927,-0.6586212760238109,-0.4400223395818162,-0.22579857064321235
PFC005,2.8181818181818183,2.6363636363636362,2.272727272727273,2,2,2.6363636363636362,2.090909090909091,2.090909090909091,1.3636363636363635,1.5454545454545454,1.0909090909090908,1.6363636363636365,1.5454545454545454,1.1818181818181819,2.090909090909091,1.6363636363636365,3.1818181818181817,3.090909090909091,3,3.3636363636363638,2.909090909090909,3.8181818181818183,2.8181818181818183,3.4545454545454546,0.12558280169876282,-0.030674286565832987,0.4433686391486802,-0.08936644794939627,0.15977746387068878,0.031295776614904604,0.7166063188855081,0.4244897158988899,-0.4251841053445796,1.6602318982527808,0.4951023837671533,1.6439801390926099,1.3222179204864408,1.0929709181432794,0.5067020193091589,1.2157557788303668
PFC006,1.7272727272727273,2,1.6363636363636365,2.727272727272727,1.7272727272727273,2.272727272727273,1.5454545454545454,1.7272727272727273,3.1818181818181817,2.272727272727273,3.1818181818181817,2.727272727272727,2.5454545454545454,2.5454545454545454,2.4545454545454546,2.1818181818181817,2.4545454545454546,3.090909090909091,2.6363636363636362,3.272727272727273,2.8181818181818183,2.909090909090909,3.272727272727273,2.3636363636363638,0.6795908219138965,0.21192821622789382,0.6405736087616574,0.5250467442521103,0.7481576575818771,0.7933112065927801,0.5231193572982695,0.6484505534750933,-0.7329240442580742,-0.6363724584823911,-0.6895846514618111,-0.37888296175532515,-0.49506024337574817,-0.3130504812190236,-0.5982426344902562,-0.4820227969856226
PFC007,2.3636363636363638,2.272727272727273,2.5454545454545454,2.4545454545454546,2.6363636363636362,2.090909090909091,2.1818181818181817,2,1.8181818181818181,1.7272727272727273,1.7272727272727273,1.2727272727272727,1.5454545454545454,1.6363636363636365,1.5454545454545454,1.6363636363636365,3.3636363636363638,2.6363636363636362,2.8181818181818183,2.6363636363636362,2.4545454545454546,2.727272727272727,2.3636363636363638,2.272727272727273,0.3873612679769534,0.3738013345173386,0.1910166994117048,0.46164318035536633,0.3452389310743578,0.05623420563280836,-0.010279147302157255,0.4353311488959545,-0.0826471643864628,0.13974874837205606,0.307894414698792,-0.029679888982421923,0.6260649801484406,0.4612797947828292,0.20690843423347563,-0.43713093358258465
PFC008,2.272727272727273,1.8181818181818181,2.4545454545454546,2.3636363636363638,2.5454545454545454,2.4545454545454546,2.272727272727273,2.6363636363636362,1.9090909090909092,2.090909090909091,1.4545454545454546,1.3636363636363635,1.4545454545454546,1.1818181818181819,2.1818181818181817,1.6363636363636365,2.5454545454545454,2.1818181818181817,3.1818181818181817,2.8181818181818183,3.090909090909091,2.727272727272727,3,3.1818181818181817,-0.0022205737875995797,0.0013554197163077356,0.034266057826941726,-0.03009594909476751,0.1513334326599674,-0.013751023582472191,-0.4040695766022351,-0.012139331945193819,-0.22423058448280395,1.0294138520172917,-0.22281688938933128,-0.22694744937087855,0.02314945447925325,0.032436993580590386,0.07979428716553609,0.06312837761485278
PFC009,2.090909090909091,2.3636363636363638,2.1818181818181817,2.090909090909091,2.272727272727273,2.1818181818181817,2.090909090909091,2.3636363636363638,2.4545454545454546,2.272727272727273,2.3636363636363638,2.272727272727273,2.272727272727273,2.6363636363636362,2.6363636363636362,2.272727272727273,2.3636363636363638,2.727272727272727,2.3636363636363638,2.5454545454545454,2.4545454545454546,2.4545454545454546,2.090909090909091,2.727272727272727,0.21448645012772263,0.5720025698208988,0.34551574531086215,0.34616033839987004,0.39376151532213716,0.4170529582287848,0.18051702412586026,0.535654451852266,0.4838752358847939,-0.3674808918046568,-0.1244909563306186,-0.4144103334489352,-0.21031624491593415,0.056021713521311675,0.2690973450902436,-0.07222954246380195
PFC010,1.8181818181818181,1.4545454545454546,2.090909090909091,1.5454545454545454,1.7272727272727273,2.090909090909091,2,1.8181818181818181,1.0909090909090908,1.5454545454545454,1.6363636363636365,1,1.1818181818181819,1,1.5454545454545454,1.0909090909090908,1.8181818181818181,1.9090909090909092,2.6363636363636362,2.4545454545454546,2.272727272727273,2.3636363636363638,2.272727272727273,2.1818181818181817,-0.27816467452904725,0.4686597674364382,-0.5665762854503712,0.2518671852779184,-0.86111429585662,-0.1714790661699916,-0.17299310691969538,-0.3732232734965301,-0.3453204817665494,-0.027677344101513825,-0.20875288499180983,-0.07426604396744096,-0.02249231203204215,-0.29344541706665206,-0.020817554819026036,-0.47627785449205967
